Mã Lớp,Học Kỳ,Mã Môn,Tên Môn Học
D21CQAT01-N,HK1 (2025-2026),INT14105,An toàn ứng dụng web và cơ sở dữ liệu
D21CQAT01-N,HK1 (2025-2026),INT1482,An toàn mạng
D21CQAT01-N,HK2 (2024-2025),INT1483,An toàn mạng nâng cao
D21CQAT01-N,HK1 (2025-2026),INT1319,Hệ điều hành
D21CQAT01-N,HK1 (2025-2026),INT1487,Hệ điều hành Windows và Linux/Unix
D21CQAT01-N,HK2 (2024-2025),INT1488,Khoa học pháp lý số
D21CQAT01-N,HK2 (2024-2025),INT14107,Kiểm thử xâm nhập
D21CQAT01-N,HK2 (2024-2025),INT1429-2,"Kỹ thuật theo dõi, giám sát an toàn mạng"
D21CQAT01-N,HK1 (2025-2026),INT13162,Lập trình với Python
D21CQAT01-N,HK1 (2025-2026),INT1344,Mật mã học cơ sở
D21CQAT01-N,HK1 (2025-2026),INT1342,Phân tích và thiết kế hệ thống thông tin
D21CQAT01-N,HK1 (2025-2026),INT14164,Phân tích mã độc
D21CQAT01-N,HK2 (2024-2025),INT1449,Phát triển ứng dụng cho các thiết bị di động
D21CQAT01-N,HK2 (2024-2025),INT14106,Quản lý an toàn thông tin
D21CQAT01-N,HK1 (2025-2026),SKD1108,Phương pháp luận nghiên cứu khoa học
D21CQCNHT01-N,HK2 (2024-2025),INT1405,Các hệ thống phân tán
D21CQCNHT01-N,HK2 (2024-2025),INT1409,Chuyên đề Hệ thống thông tin
D21CQCNHT01-N,HK2 (2024-2025),INT1418,Hệ cơ sở dữ liệu đa phương tiện
D21CQCNHT01-N,HK2 (2024-2025),INT1422,Kho dữ liệu và khai phá dữ liệu
D21CQCNHT01-N,HK2 (2024-2025),INT1445,Phát triển hệ thống thông tin quản lý
D21CQCNHT01-N,HK2 (2024-2025),INT1446,Phát triển hệ thống thương mại điện tử
D21CQCNPM01-N,HK1 (2025-2026),INT1405,Các hệ thống phân tán
D21CQCNPM01-N,HK2 (2024-2025),INT1408,Chuyên đề Công nghệ phần mềm
D21CQCNPM01-N,HK2 (2024-2025),INT1416,Đảm bảo chất lượng phần mềm
D21CQCNPM01-N,HK2 (2024-2025),INT14149,IoT và ứng dụng
D21CQCNPM01-N,HK2 (2024-2025),INT1448,Phát triển phần mềm hướng dịch vụ
D21CQCNPM01-N,HK2 (2024-2025),INT1449,Phát triển ứng dụng cho các thiết bị di động
D21CQCNPM01-N,HK1 (2025-2026),INT1342,Phân tích và thiết kế hệ thống thông tin
D21CQCNPM01-N,HK2 (2024-2025),INT14151,Phát triển các hệ thống thông minh
D21CQCNPM01-N,HK1 (2025-2026),SKD1108,Phương pháp luận nghiên cứu khoa học
D21CQCNPM01-N,HK2 (2024-2025),INT1450,Quản lý dự án phần mềm
D21CQCNPM01-N,HK2 (2024-2025),INT1461,Xây dựng các hệ thống nhúng
D21CQCNPM01-N,HK1 (2025-2026),INT13146,Xử lý ảnh
D21CQCNPM02-N,HK2 (2024-2025),INT1405,Các hệ thống phân tán
D21CQCNPM02-N,HK2 (2024-2025),INT1408,Chuyên đề Công nghệ phần mềm
D21CQCNPM02-N,HK2 (2024-2025),INT1416,Đảm bảo chất lượng phần mềm
D21CQCNPM02-N,HK2 (2024-2025),INT14149,IoT và ứng dụng
D21CQCNPM02-N,HK2 (2024-2025),INT1427,Kiến trúc và thiết kế phần mềm
D21CQCNPM02-N,HK2 (2024-2025),INT1448,Phát triển phần mềm hướng dịch vụ
D21CQCNPM02-N,HK2 (2024-2025),INT1449,Phát triển ứng dụng cho các thiết bị di động
D21CQCNPM02-N,HK1 (2025-2026),INT1342,Phân tích và thiết kế hệ thống thông tin
D21CQCNPM02-N,HK2 (2024-2025),INT14151,Phát triển các hệ thống thông minh
D21CQCNPM02-N,HK1 (2025-2026),SKD1108,Phương pháp luận nghiên cứu khoa học
D21CQCNPM02-N,HK2 (2024-2025),INT1450,Quản lý dự án phần mềm
D21CQCNPM02-N,HK2 (2024-2025),INT1461,Xây dựng các hệ thống nhúng
D21CQCNPM02-N,HK1 (2025-2026),INT13146,Xử lý ảnh
D21CQDKTD01-N,HK2 (2024-2025),ELE1346,An toàn điện
D21CQDKTD01-N,HK2 (2024-2025),ELE1474,Chuyên đề tự động hóa
