Ngành đào tạo	,Mã ngành	,mã lớp	,mã sinh viên 
Kỹ thuật Điện tử viễn thông	,7520207	,DxxCQVT01-N	,NxxDCVTxxx
Công nghệ Internet vạn vật (IoT)	,7520208	,DxxCQCI01-N	,NxxDCCIxxx
Công nghệ Kỹ thuật điệnđiện tử	,7510301	,DxxCQDT01-N	,NxxDCDTxxx
Kỹ thuật điều khiển và tự động hóa	,7520216	,DxxCQDK01-N	,NxxDCDKxxx
Công nghệ thông tin	,7480201	,DxxCQCN01-N	 ,NxxDCCNxxx
An toàn thông tin	,7480202	,DxxCQAT01-N	,NxxDCATxxx
Truyền thông đa phương tiện	,7320104	,DxxCQTT01-N	,NxxDCTTxxx
Công nghệ đa phương tiện 	,7329001	,DxxCQPT01-N	,NxxDCPTxxx
Quản trị kinh doanh	,7340101	,DxxCQQT01-N	,NxxDCQTxxx
Marketing	,7340115	,DxxCQMR01-N	,NxxDCMRxxx
Kế toán	,7340301	,DxxCQKT01-N	,NxxDCKTxxx
ví dụ : Công nghệ đa phương tiện	,7329001	,D22CQPT01-N	,N22DCPT035
			
